Order_ID,Product_Name,Quantity,Order_Date,Extracted_Date
30001,Charles,43.67,2019-11-12,2019-11-12
30002,Ashley,75.96,2019-11-12,2019-11-12
30003,Jeffrey,70.96,2019-11-12,2019-11-12
30004,Sally,90.01,2019-11-12,2019-11-12
30005,Christopher,73.47,2019-11-12,2019-11-12
30006,Susan,92.86,2019-11-12,2019-11-12
30007,Elizabeth,67.73,2019-11-12,2019-11-12
30008,Brittany,87.68,2019-11-12,2019-11-12
30009,Charles,21.48,2019-11-12,2019-11-12
30010,David,29.71,2019-11-12,2019-11-12
30011,Shawn,84.53,2019-11-12,2019-11-12
30012,Jennifer,99.04,2019-11-12,2019-11-12
30013,Chad,66.56,2019-11-12,2019-11-12
30014,Jennifer,72.36,2019-11-12,2019-11-12
30015,Willie,22.52,2019-11-12,2019-11-12
30016,Andrea,25.94,2019-11-12,2019-11-12
30017,Bridget,95.53,2019-11-12,2019-11-12
30018,Lisa,93.24,2019-11-12,2019-11-12
30019,Bridget,69.54,2019-11-12,2019-11-12
30020,Brianna,96.67,2019-11-12,2019-11-12
30021,Mark,98.08,2019-11-12,2019-11-12
30022,Peggy,88.71,2019-11-12,2019-11-12
30023,Sarah,78.93,2019-11-12,2019-11-12
30024,Angela,98.04,2019-11-12,2019-11-12
30025,Ryan,74.48,2019-11-12,2019-11-12
30026,Jessica,89.22,2019-11-12,2019-11-12
30027,Laura,82.0,2019-11-12,2019-11-12
30028,Mia,54.64,2019-11-12,2019-11-12
30029,Rita,85.2,2019-11-12,2019-11-12
30030,Alexandria,45.89,2019-11-12,2019-11-12
30031,Steven,25.85,2019-11-12,2019-11-12
30032,Donna,57.57,2019-11-12,2019-11-12
30033,Michele,91.6,2019-11-12,2019-11-12
30034,Jared,46.24,2019-11-12,2019-11-12
30035,Michael,39.01,2019-11-12,2019-11-12
30036,Mary,21.77,2019-11-12,2019-11-12
30037,Donna,67.73,2019-11-12,2019-11-12
30038,Lisa,52.68,2019-11-12,2019-11-12
30039,Joseph,39.41,2019-11-12,2019-11-12
30040,Stacy,72.39,2019-11-12,2019-11-12
30041,Erica,99.73,2019-11-12,2019-11-12
30042,Victoria,57.55,2019-11-12,2019-11-12
30043,Michael,94.05,2019-11-12,2019-11-12
30044,Sara,21.36,2019-11-12,2019-11-12
30045,Jose,72.04,2019-11-12,2019-11-12
30046,Dylan,88.3,2019-11-12,2019-11-12
30047,Lauren,53.74,2019-11-12,2019-11-12
30048,David,67.51,2019-11-12,2019-11-12
30049,Mary,66.55,2019-11-12,2019-11-12
30050,Samuel,91.6,2019-11-12,2019-11-12
30051,Andrea,30.09,2019-11-12,2019-11-12
30052,Kathleen,45.39,2019-11-12,2019-11-12
30053,Jaime,70.76,2019-11-12,2019-11-12
30054,Lance,99.38,2019-11-12,2019-11-12
30055,Anthony,80.11,2019-11-12,2019-11-12
30056,Robin,49.27,2019-11-12,2019-11-12
30057,Thomas,71.19,2019-11-12,2019-11-12
30058,Samuel,53.23,2019-11-12,2019-11-12
30059,Amber,63.46,2019-11-12,2019-11-12
30060,Christian,39.14,2019-11-12,2019-11-12
30061,Sylvia,70.58,2019-11-12,2019-11-12
30062,Devin,66.93,2019-11-12,2019-11-12
30063,Jodi,22.02,2019-11-12,2019-11-12
30064,Samuel,82.31,2019-11-12,2019-11-12
30065,Alicia,97.85,2019-11-12,2019-11-12
30066,Stephanie,60.75,2019-11-12,2019-11-12
30067,David,34.15,2019-11-12,2019-11-12
30068,Samantha,90.8,2019-11-12,2019-11-12
30069,Diana,81.74,2019-11-12,2019-11-12
30070,Lauren,41.92,2019-11-12,2019-11-12
